file,410pred,410err,410amp,410qual,660pred,660err,660amp,660qual
60_30.00,-154.398128605,0.211616527418,1059.61815533,0.8875,-225.88458786599998,0.0601054001594,1081.62779068,0.75
60_300.00,-155.26893206100002,0.0608787084705,544.922024447,0.6625,-225.014103676,0.140230756022,449.91569893,0.9725
60_330.00,-154.247273162,0.0906268576517,805.672313891,0.7025,-224.024232275,0.0989517702897,729.852755355,0.8975
60_60.00,-155.129481725,0.15570838424,1069.76116006,0.895,-225.914896568,0.138848955239,1184.11654402,0.9225
60_90.00,-155.82295638,0.12169835414899999,861.159759676,0.9775,-226.585734405,0.194926707629,1012.86524574,0.9125
75_0,-154.37608023299998,0.0844568611087,821.905189719,0.9275,-224.05901310099998,0.129732144027,663.221692423,0.9425
75_120.00,-155.709181386,0.10357812903300001,1111.32093311,0.945,-226.675035099,0.12638231555600002,1102.72680104,0.87
75_180.00,-155.940061042,0.0918980587304,946.820775727,0.8975,-226.56852735200002,0.09244054098200001,775.5529452039999,0.9075
75_240.00,-156.32035159,0.160792388986,559.096715862,1.0,-226.503880681,0.149997912945,504.295800286,0.98
75_300.00,-155.415478267,0.148577520419,740.3880950289999,0.815,-224.95678075700002,0.0822263951623,635.818488018,0.9725
75_60.00,-155.199711931,0.132249438453,1270.84226513,1.0375,-225.28139151099998,0.10107511844599999,1219.1144349,0.92
90_0,-154.688616495,0.196745787129,848.7660135189999,1.04,-224.62165196799998,0.0965515413696,730.639905915,0.96
n15_0,-155.302164279,0.153877059022,255.330196788,0.9275,-226.90631121599998,0.22311263562300002,262.82641496900004,0.985
n15_109.55,-155.922518552,0.0579657657671,232.320516097,0.6725,-227.56881256900002,0.0818249759074,217.36161827200002,0.905
n15_125.20,-154.989836975,0.16842180775499999,208.99886900599998,0.9025,-226.85887606,0.13171283907099998,184.91242579299998,0.9675
n15_140.85,-155.819301574,0.11808589338,229.714937628,0.8975,-227.481828627,0.12025867834899999,203.723691279,0.9
n15_15.65,-155.295115691,0.13106549843499998,143.137675155,0.77,-227.425821083,0.130789489364,149.781406847,0.865
n15_156.50,-156.448052948,0.119008030714,328.555865779,0.975,-228.970456873,0.117422318913,341.64996835700003,0.93
n15_172.15,-158.026582717,0.15763552064,469.93087510699996,0.785,-229.830638862,0.162753483084,481.216117176,0.9325
n15_187.80,-158.21671715,0.126039531954,1240.89590332,0.99,-228.548132316,0.106191158324,1209.73163907,0.895
n15_203.45,-157.470418046,0.113419442301,3339.58176521,0.98,-227.779491029,0.117878687787,3550.12205957,0.91
n15_219.10,-157.207106187,0.102768396184,2993.18323793,0.965,-227.484926756,0.11695557957599999,3407.51933789,0.8975
n15_234.75,-157.091274256,0.181290410205,1412.71303324,0.9925,-227.203562563,0.21842333999699998,1499.5835063,0.94
n15_250.40,-157.314836475,0.150383952085,319.22284139,0.9325,-227.320819215,0.192311570689,251.917158147,0.7925
n15_266.05,-155.50923693299998,0.0771995476793,976.889124196,0.8625,-227.851050991,0.19974402622600002,671.6148877859999,0.895
n15_281.70,-155.08874538,0.09363214099610001,1485.86125334,0.935,-228.46378536400002,0.159945312076,1087.98653549,0.9125
