file,410pred,410err,410amp,410qual
19950518A.atlantic.SNZO.BHT,-162.510689849,0.21822502264000002,0.0642925302563,0.6625
19950518A.atlantic.VNDA.BHT,-147.877610565,0.642065030624,0.053891486692300004,0.605
19950523A.atlantic.CRY.BHT,-162.420470517,0.145177805033,0.0599526353267,0.68
19950523A.atlantic.ICAN.BHT,-158.240536136,0.206299454469,0.023374579040099996,0.615
19950523A.atlantic.RDM.BHT,-159.02268555,0.09159123860349999,0.0530776011638,0.74
19950529A.santacruz.BOCO.BHT,-153.543566715,0.126072073896,0.14179739854499998,0.62
19950529A.santacruz.FRB.BHT,-148.250681509,0.12019733845000001,0.165686200506,0.7775
19950529A.santacruz.KBS.BHT,-159.99364052,0.13870495134400002,0.162710850208,0.62
19950531A.mexico.ARU.BHT,-147.317987526,0.253061487178,0.0951577118042,0.7325
19950531A.mexico.BRVK.BHT,-150.155856989,0.14628248468,0.163329405537,0.9275
19950531A.mexico.ZRN.BHT,-154.087522458,0.104685818611,0.139455265685,0.625
19950615A.greece.NOUC.BHT,-165.022371442,0.13079480220200002,0.17850029186299998,0.6825
19950621A.balleny.CMB.BHT,-151.461241291,0.0962282713988,0.116003489726,0.705
19950621A.balleny.KBS.BHT,-160.77021816299998,0.20418415462099998,0.0533159310339,0.6625
19950621A.balleny.KURK.BHT,-147.281873357,0.226511758255,0.167680680915,0.8075
19950621A.balleny.LVZ.BHT,-167.037451786,0.337320692086,0.020686142403400002,0.68
19950621A.balleny.MBC.BHT,-154.122128079,0.114994892815,0.124650924815,0.6525
19950621A.balleny.MLR.BHT,-159.97022752200002,0.127167476052,0.12248764205700001,0.8675
19950621A.balleny.SCZ.BHT,-162.943205,0.154814092826,0.0669901653045,0.695
19950621A.balleny.STU.BHT,-167.14761779,0.0975278331729,0.10339243876,0.6875
19950621A.balleny.TLG.BHT,-145.393151779,0.183314735915,0.0928050436817,0.7975
19950625A.png.TACA.BHT,-157.354841519,0.22590685434399999,0.0907789116918,0.6525
19950627A.honduras.CTAO.BHT,-157.760926459,0.20989451357500002,0.09615827396950001,0.68
19950630A.california.ARU.BHT,-161.53523336700002,0.0769161655869,0.228763321297,0.715
19950630A.california.DRV.BHT,-155.46820894799998,0.191191201612,0.15520053196,0.7325
19950630A.california.ZRN.BHT,-144.416001303,0.123566070002,0.280432804236,0.9525
19950711A.china.KOG.BHT,-149.395976024,0.13116530014799999,0.0903637997919,0.73
19950711A.china.SJG.BHT,-163.57960829200002,0.179871897951,0.13596237826,0.7175
19950712A.loyalty.MAK.BHT,-151.38350782,0.08407356878569999,0.203084136029,0.7525
19950727A.indianocean.PFO.BHT,-156.407991858,0.106402288381,0.20238261194899998,0.72
19950730A.chile.INU.BHT,-163.292432169,0.0987408234557,0.128767104493,0.6925
19950730A.chile.OGS.BHT,-166.267602593,0.147953030562,0.221316305663,0.66
19950730A.chile.TSK.BHT,-161.298513602,0.167183952238,0.139317482236,0.705
19950807A.micronesia.CRUZ.BHT,-162.948020415,0.131020681053,0.120329479891,0.895
19950817A.png.KOG.BHT,-165.823484939,0.203772135339,0.19788461439399999,0.9575
19950817A.png.MM17.BHT,-153.57601398,0.113265278146,0.159825955628,0.7675
19950823A.pacific.BJT.BHT,-153.892921436,0.414507726024,0.147442945069,0.65
19950823A.pacific.ZRN.BHT,-159.634866564,0.106175038112,0.341912300622,0.75
19950828A.california.DRV.BHT,-156.79947192,0.08102612550010001,0.14879251817,0.8725
19950828A.california.MSEY.BHT,-164.223936858,0.0995386670459,0.115491595297,0.67
19950829A.indianridge.CCM.BHT,-168.33818159,0.189930391902,0.334134907664,0.6425
19950829A.indianridge.CMB.BHT,-160.552004829,0.146205527877,0.09538573511029999,0.825
19950829A.indianridge.HRV.BHT,-167.513653739,0.341917359251,0.23228865825800002,0.7675
19950829A.indianridge.KEV.BHT,-149.011041074,0.133490004257,0.09955613023430002,0.78
19950829A.indianridge.KOG.BHT,-148.073879063,0.23390894280699998,0.0381424928866,0.6975
19950829A.indianridge.KONO.BHT,-166.11107141600002,0.10835429544000001,0.07413370696430001,0.705
19950829A.indianridge.LID.BHT,-157.584083061,0.14766525102199998,0.143573931208,0.8225
19950829A.indianridge.YKW3.BHT,-160.622522366,0.11003933320499999,0.111686977336,0.6
19950917A.mauritius.FRB.BHT,-145.99463749,0.170710326034,0.13457493455999997,0.655
19950923A.peru.LVZ.BHT,-161.238068935,0.140996747454,0.07395514310449999,0.775
19950923A.peru.TKM2.BHT,-162.491605451,0.155149332583,0.188860960975,0.6475
19951006A.indonesia.BAR.BHT,-157.492741745,0.128621773889,0.12200569932800001,0.8775
19951006A.indonesia.DGR.BHT,-157.400614807,0.127336842339,0.10550413004300001,0.6925
19951006A.indonesia.SAVY.BHT,-152.07023991,0.122955122407,0.127572776171,0.7525
19951012A.pacific.TSK.BHT,-154.808844407,0.187542865694,0.262110340146,0.72
19951013A.macquarie.DRLN.BHT,-167.29995532,0.11190380815300001,0.0938848927119,0.76
19951013A.macquarie.WUS.BHT,-165.10988718,0.202465375009,0.0996209948996,0.6025
19951019A.japan.SDV.BHT,-163.595154685,0.146815949764,0.0570026664688,0.9375
19951019A.ryukyu.CRZF.BHT,-156.251918204,0.181857589609,0.159144496011,0.65
19951108A.sumatera.ISA.BHT,-152.405877352,0.19984199936900002,0.0802076274158,0.8075
19951108A.sumatera.PLCA.BHT,-155.300521436,0.212805651887,0.0998433449281,0.6425
19951124A.kuril.NNA.BHT,-157.037464473,0.213956458072,0.24659081935,0.75
19951124A.newzealand.KMBO.BHT,-156.265418151,0.243912481426,0.0940733543022,0.81
19951201A.pacific.BRVK.BHT,-147.666140911,0.116912725743,0.09447827124849999,0.9125
19951201A.pacific.CHKZ.BHT,-145.425924401,0.129252214912,0.0902481027241,0.6875
19951201A.pacific.CTAO.BHT,-147.906215728,0.0727551358495,0.12087370029899999,0.755
19951201A.pacific.KURK.BHT,-152.109744451,0.0559913786907,0.0929727270654,0.655
19951201A.pacific.LSA.BHT,-157.340091844,0.18163147860399997,0.0736160158099,0.7925
19951201A.pacific.LVZ.BHT,-150.137411391,0.232491758297,0.149762279228,0.7125
19951201A.pacific.OBN.BHT,-162.782018234,0.43946178310199996,0.135119752229,0.6925
19951201A.pacific.PMG.BHT,-163.943804403,0.132814728637,0.09648516173419999,0.6975
19951201A.pacific.VOS.BHT,-149.800863837,0.10234711194599999,0.0683969463054,0.7225
19951201A.pacific.ZRN.BHT,-148.373797339,0.15422551995,0.110014279584,0.9
19951202A.kuril.STC6.BHT,-160.44210915,0.209238165099,0.10365995330399999,0.6225
19951205A.timor.DRLN.BHT,-156.83614851299998,0.0888443480892,0.116767897837,0.855
19951210A.kuril.VABB.BHT,-162.919309929,0.17411525800799998,0.099612048635,0.81
19951211A.mexico.BGCA.BHT,-155.68420675,0.186953248026,0.145815751038,0.625
19951211A.mexico.CHTO.BHT,-161.953646245,0.0916377658725,0.112659701557,0.8725
19951211A.mexico.CTAO.BHT,-154.910508728,0.134626522016,0.199824288813,0.9025
19951211A.mexico.PMG.BHT,-157.420437072,0.09278887168189999,0.136853575412,0.72
19951225A.kermadec.DSB.BHT,-163.225120905,0.172468587658,0.141934610494,0.8175
19951230A.pacific.ABKT.BHT,-160.79352483899999,0.15546143649,0.0603209042466,0.64
19951230A.pacific.BGCA.BHT,-151.140518669,0.162343912022,0.0696892405941,0.895
19951230A.pacific.KURK.BHT,-154.213836895,0.134370202826,0.15649747723,0.84
19951230A.pacific.MHV.BHT,-163.267465621,0.221148821554,0.15183803894300002,0.91
19951230A.pacific.OBN.BHT,-161.538176315,0.100932817841,0.196810599559,0.755
19951230A.pacific.SYO.BHT,-156.236547602,0.0984335537318,0.17801804094999998,0.875
19951230A.pacific.TLY.BHT,-166.177977274,0.156541624407,0.113155790988,0.6275
19951230A.pacific.WUS.BHT,-157.723373054,0.0805461337091,0.0603269196528,0.6875
19960122A.southsandwich.DPC.BHT,-152.82967828,0.11917511500700001,0.06858760843469999,0.61
