file,410time,410error,410quality,660time,660error,660quality
19980320A.auckland.MTE.BHT,-166.33538588492692,0.1833788263142284,0.84,-246.9466396334514,0.21906660505062456,0.7325
19980401A.indonesia.HRV.BHT,-159.38595353413325,0.09095982479122547,0.8875,-238.52949475489186,0.06374846873678787,0.685
19980616A.macquarie.KEV.BHT,-163.0397364752253,0.11806402935278255,0.7325,-239.05907462729854,0.1557792394819792,0.715
19980618A.ascension.YKW3.BHT,-150.88903406878222,0.2672929627341677,1.075,-211.16488847174182,0.10910083245551698,0.6875
19980629A.macquarie.KAZ.BHT,-148.13596408366826,0.10966143125475812,0.775,-223.7074212115017,0.28327878330762235,0.7275
19980629A.macquarie.STU.BHT,-158.53321398497386,0.2546351990465947,0.6875,-245.50167103500183,0.08742091938078253,0.74
19980805A.pacific.YKW3.BHT,-164.77073924724007,0.11561860818096675,0.6275,-225.24919662058133,0.20708102472032505,0.8875
19980828A.molucca.GSC.BHT,-152.61589133511498,0.1607152266235383,0.8575,-223.99390988024768,0.15398539210042625,0.665
19981011A.pacific.DAND.BHT,-157.77127997344587,0.08034050988229502,0.68,-235.52850476339862,0.16724066603002688,0.9125
19981011A.pacific.JANA.BHT,-159.32088547640376,0.2644592662428686,0.945,-226.99608008457417,0.12322837922364747,0.76
19981011A.pacific.MDJ.BHT,-166.33212453440547,0.1393844554319475,0.655,-226.90641713025127,0.09456551437723043,0.8275
19990304A.celebes.JFOB.BHT,-159.86094494630294,0.15961955287780266,0.6275,-247.27140003635483,0.057273870148810566,0.6025
19990331A.panama.SA20.BHT,-149.0474569055277,0.13935953194302178,0.7575,-223.89254742501183,0.12667601328976413,0.68
19990505A.mexico.ST29.BHT,-152.6323101552701,0.18459551097019414,0.6225,-224.66541521957438,0.1863624838977572,0.8975
19990506A.iran.SJG.BHT,-159.80419077030228,0.13320669361953888,0.725,-215.2881123660799,0.2257427313480929,0.89
19990801A.newzealand.KEV.BHT,-161.4464351915464,0.10085008803747857,0.6925,-233.7873867897739,0.08590970140511943,0.7875
19990821A.southsandwich.AZ49.BHT,-157.77781226829796,0.13726834127232435,0.7025,-219.13646704374665,0.09529907499476924,0.705
19990821A.southsandwich.BMN.BHT,-157.41734494588914,0.09225713794495016,0.6675,-222.23405683681298,0.11679224731105667,0.6975
19990920A.taiwan.CBKS.BHT,-155.17529541380316,0.08615427102944018,0.665,-217.34880720307598,0.12298903819035165,0.7975
19990920A.taiwan.G03.BHT,-162.41691846412397,0.11548916067169546,0.7625,-232.035928625006,0.22616538716359005,0.8
19990920A.taiwan.G08.BHT,-164.03471401202404,0.0723942353685338,0.665,-237.5607639132701,0.18384041676825136,0.74
19990920A.taiwan.SJG.BHT,-154.77947705472894,0.2542699446094445,0.7175,-232.214451821861,0.09721107170132376,0.615
19991018A.southsandwich.INK.BHT,-159.5993405983802,0.0971913141864024,0.8725,-238.7578113683556,0.14237331416422774,0.7575
19991115A.indianocean.ANMO.BHT,-153.8242458998659,0.22457633691091264,0.8,-235.9150647049329,0.12189589268104987,0.6775
19991115A.indianocean.AZ49.BHT,-158.60038775506558,0.09435329417587032,0.92,-226.80455426016246,0.1781202972505948,0.615
19991115A.indianocean.GOGA.BHT,-159.52400931924151,0.07120209975436967,0.7075,-232.78507572836943,0.10456078129741136,0.8825
19991115A.indianocean.N10.BHT,-147.9211665784286,0.06550400725580334,0.765,-234.26443640774684,0.05402317180312572,0.7725
19991115A.indianocean.NM13.BHT,-157.89618676510818,0.1188362076660107,0.6825,-239.51242390895862,0.18539192182512496,0.655
19991115A.indianocean.RCBR.BHT,-155.67597175289097,0.1254223769997012,0.8075,-227.1219636714089,0.1123899228568917,0.73
19991115A.indianocean.S12.BHT,-154.63628284823375,0.10048674792374243,0.7625,-238.5089962381781,0.1083524936210129,0.6825
19991115A.indianocean.TX04.BHT,-161.11957097736706,0.0585314573697141,0.6475,-236.57001573447465,0.2430441569426541,0.7
19991115A.indianocean.UT54.BHT,-163.18947284962908,0.278744175910868,0.7475,-225.31301261700847,0.13059250224614838,0.685
19991129A.indianocean.NM23.BHT,-156.00656200926986,0.16280854703488926,0.66,-238.30277161789436,0.08946604539873827,0.685
19991206A.kodiak.BARB.BHT,-150.49383834615983,0.1805782929087761,0.6575,-224.8772478984109,0.0984042142888006,0.7025
19991206A.kodiak.PAF.BHT,-153.30618278039552,0.191129716954422,0.6275,-233.27348705369218,0.17842746256506525,0.6675
