file,handpick,autopick,quality
19930315A.chile.NWAO.BHT_auto.sac,-10.92,94.00
19930315A.chile.TSK.BHT_auto.sac,-11.44,94.00
19930402A.tonga.OBN.BHT_auto.sac,-0.18,94.00
19930405A.southsandwich.XAN.BHT_auto.sac,-0.01,91.00
19930417A.fiji.ARU.BHT_auto.sac,-9.42,86.00
19930417A.fiji.FRB.BHT_auto.sac,-0.06,71.00
19930417A.fiji.KIV.BHT_auto.sac,-9.13,93.00
19930417A.fiji.LVZ.BHT_auto.sac,-0.16,94.00
19930417A.fiji.NRIL.BHT_auto.sac,-9.07,81.00
19930417A.fiji.OBN.BHT_auto.sac,-0.07,74.00
19930502A.ssandwich.A03.BHT_auto.sac,-9.80,86.00
19930502A.ssandwich.ANMO.BHT_auto.sac,-0.17,76.00
19930502A.ssandwich.CTAO.BHT_auto.sac,-0.34,82.00
19930502A.ssandwich.ENH.BHT_auto.sac,-0.17,70.00
19930502A.ssandwich.ERM.BHT_auto.sac,-0.39,94.00
19930502A.ssandwich.GSC.BHT_auto.sac,-9.46,84.00
19930502A.ssandwich.MAJO.BHT_auto.sac,-0.05,96.00
19930502A.ssandwich.PFO.BHT_auto.sac,-9.00,84.00
19930502A.ssandwich.SBC.BHT_auto.sac,-9.35,88.00
19930502A.ssandwich.SCZ.BHT_auto.sac,-9.79,87.00
19930502A.ssandwich.XAN.BHT_auto.sac,-10.07,80.00
19930502A.ssandwich.YSS.BHT_auto.sac,-0.23,94.00
19930511A.philippine.PAB.BHT_auto.sac,18.51,94.00
19930511A.philippine.TBT.BHT_auto.sac,18.03,94.00
19930511A.philippine.UNM.BHT_auto.sac,-10.30,78.00
19930513A.alaska.PMSA.BHT_auto.sac,-17.19,90.00
19930515A.aleutian.AGVB.BHT_auto.sac,-9.67,95.00
19930515A.aleutian.CDCB.BHT_auto.sac,-9.79,64.00
19930515A.aleutian.DRV.BHT_auto.sac,-9.73,82.00
19930515A.aleutian.PAF.BHT_auto.sac,-9.72,92.00
19930515A.aleutian.PMSA.BHT_auto.sac,-10.20,88.00
19930516A.tonga.ALE.BHT_auto.sac,-0.32,86.00
19930516A.tonga.FRB.BHT_auto.sac,-12.36,93.00
19930516A.tonga.SUR.BHT_auto.sac,-12.33,94.00
19930517A.california.BOSA.BHT_auto.sac,-0.20,93.00
19930517A.png.AGVB.BHT_auto.sac,-11.51,94.00
19930517A.png.CDCB.BHT_auto.sac,-11.92,94.00
19930517A.png.HRV.BHT_auto.sac,-0.13,96.00
19930517A.png.RIFB.BHT_auto.sac,-12.14,94.00
19930529A.atlantic.KIP.BHT_auto.sac,-0.24,94.00
19930529A.atlantic.SA07.BHT_auto.sac,-10.43,92.00
19930529A.atlantic.TATO.BHT_auto.sac,-9.67,94.00
19930529A.atlantic.XAN.BHT_auto.sac,-9.38,77.00
19930604A.indonesia.BOSA.BHT_auto.sac,-10.77,74.00
19930604A.indonesia.UNM.BHT_auto.sac,-0.44,95.00
19930606A.mariana.ECH.BHT_auto.sac,0.00,94.00
19930606A.mariana.HRV.BHT_auto.sac,-0.56,94.00
19930606A.mariana.SSB2.BHT_auto.sac,0.03,93.00
19930606A.mariana.SSB3.BHT_auto.sac,-0.20,94.00
19930606A.mariana.SSB.BHT_auto.sac,0.06,93.00
19930606A.mariana.TBT.BHT_auto.sac,0.04,94.00
19930612A.indonesia.AGVB.BHT_auto.sac,-0.14,95.00
19930612A.indonesia.ANMO.BHT_auto.sac,-0.07,70.00
19930612A.indonesia.GSC.BHT_auto.sac,-0.12,78.00
19930612A.indonesia.KEV.BHT_auto.sac,-0.21,92.00
19930612A.indonesia.PAB.BHT_auto.sac,-9.69,74.00
19930612A.indonesia.PFO.BHT_auto.sac,0.03,72.00
19930612A.indonesia.SCZ.BHT_auto.sac,-0.32,70.00
19930612A.indonesia.TAM.BHT_auto.sac,-0.46,95.00
19930612A.solomon.BOSA.BHT_auto.sac,-0.16,95.00
19930612A.solomon.HRV.BHT_auto.sac,-10.17,90.00
19930612A.solomon.LVZ.BHT_auto.sac,-0.33,77.00
19930612A.solomon.RIFB.BHT_auto.sac,-10.35,94.00
19930618A.kermadec.DPC.BHT_auto.sac,-10.57,81.00
19930618A.kermadec.KEV.BHT_auto.sac,-10.75,90.00
19930618A.kermadec.LVZ.BHT_auto.sac,-10.42,96.00
19930618A.kermadec.NRIL.BHT_auto.sac,-9.85,89.00
19930618A.kermadec.OBN.BHT_auto.sac,-10.51,94.00
19930623A.southshetland.A07.BHT_auto.sac,-9.48,87.00
19930623A.southshetland.A08.BHT_auto.sac,-9.64,88.00
19930623A.southshetland.A13.BHT_auto.sac,-9.65,89.00
19930623A.southshetland.A14.BHT_auto.sac,-9.60,90.00
19930623A.southshetland.CHTO.BHT_auto.sac,-0.22,93.00
19930623A.southshetland.COL.BHT_auto.sac,-9.60,94.00
19930623A.southshetland.COR.BHT_auto.sac,-9.46,87.00
19930623A.southshetland.KEV.BHT_auto.sac,-0.15,72.00
19930623A.southshetland.KONO.BHT_auto.sac,-0.29,78.00
